DATA_YM,AREA_ID,AREA_NM,DIST_CD,DIST_NM,TOTAL_BIDG,FAC_NEIGH_1,FAC_NEIGH_2,FAC_CULT_MTG,FAC_RELG,FAC_RETAIL,FAC_MEDI,FAC_YOSE,FAC_TRAIN,FAC_SPORT,FAC_STAY,FAC_LEISURE,TOTAL_GAS,CMRC_GAS,TOTAL_ELEC
202303,9626,중앙로역_4,27110,중구,538.0,266.0,88.0,6.0,3.0,2.0,3.0,0.0,0.0,0.0,16.0,3.0,517520,466070,1174.57
202303,10350,황리단길,47130,경주시,765.0,72.0,174.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,322681,318143,571.137
202212,9547,농소1동,31200,북구,343.0,74.0,161.0,1.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,921843,726861,1094.982
202312,9995,심석고등학교,41360,남양주시,129.0,4.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226095,223952,594.064
202301,9248,고덕역,11740,강동구,34.0,2.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1884854,886279,2708.273
202407,9551,울주경찰서,31710,울주군,24.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141095,123134,945.607
202308,9826,평화2동_1,45111,전주시 완산구,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10074,0,0.0
202401,10268,괴산시외버스공용터미널,43760,괴산군,261.0,101.0,50.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,148480,148480,431.083
202303,9684,죽변면,47930,울진군,173.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,49.677
202208,9993,덕소초등학교앞,41360,남양주시,38.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15305,15258,68.201
202301,10197,배방읍,44200,아산시,171.0,8.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,150158,150158,293.958
202210,9722,신창동,29200,광산구,204.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185440,99540,605.138
202405,10068,정부과천청사역_2,41290,과천시,13.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399719,315104,950.842
202303,9463,서면역_3,26230,부산진구,249.0,59.0,70.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,6.0,915681,461379,1511.289
202406,9550,온산읍,31710,울주군,153.0,34.0,31.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,19.0,95803,95803,449.982
202211,9710,청도역,47820,청도군,145.0,53.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,11384,9225,201.905
202310,9364,양재 화물트럭터미널앞,11650,서초구,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,572199,285085,1030.212
202410,10317,팔공산 동화사,27140,동구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
202303,9993,덕소초등학교앞,41360,남양주시,37.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32180,31278,52.043
202303,9277,강남역_3,11680,강남구,269.0,51.0,132.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2728045,2366908,5589.638
202303,9589,김해시청,48250,김해시,689.0,190.0,123.0,0.0,0.0,5.0,6.0,2.0,0.0,0.0,68.0,15.0,1060484,528926,2510.212
202312,9147,홍익대학교,11440,마포구,1523.0,222.0,867.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,8451032,6379485,12354.263
202207,9251,명일역,11740,강동구,155.0,31.0,58.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,471398,442251,1242.391
202303,9555,울산대공원정문,31140,남구,128.0,26.0,52.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,404734,222575,546.895
202310,9714,광천동,29140,서구,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,894298,894298,3196.212
202409,9720,송정역,29200,광산구,142.0,34.0,16.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,86926,86482,355.565
202210,10123,연수2동_1,28185,연수구,171.0,9.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,358360,173360,986.165
202406,10150,부평문화의거리,28237,부평구,335.0,152.0,84.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,6.0,797969,505050,1926.278
202409,9966,판교테크벨리,41135,성남시 분당구,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,591349,77324,5566.288
202210,10183,도안상권,30170,서구,113.0,24.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,382044,348408,1114.399
202409,9936,사강시장,41590,화성시,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.407
202308,10223,서천시외버스터미널,44770,서천군,20.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3365,3365,69.965
202303,9554,태화동 태화 종합시장,31110,중구,125.0,45.0,15.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,457260,299235,553.15
202310,10303,서부산유통단지-2,26440,강서구,14.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,126130,0,259.805
202207,9876,영통역_2,41117,수원시 영통구,110.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85013,85013,235.481
202402,9369,서래마을,11650,서초구,98.0,19.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,541636,480736,1278.089
202409,9532,삼산동_4,31140,남구,84.0,7.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23786,23786,159.143
202404,9552,병영1동,31110,중구,478.0,61.0,60.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,249452,249452,731.545
202208,9523,자갈치역_1,26110,중구,960.0,261.0,191.0,0.0,1.0,7.0,3.0,1.0,0.0,1.0,37.0,20.0,552978,439873,3431.29
202212,9565,월영동,48125,창원시 마산합포구,281.0,78.0,62.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,12.0,1.0,1118630,838885,2320.278
202303,9660,고령시외버스터미널,47830,고령군,399.0,129.0,53.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,83560,80968,651.955
202303,9834,남원공용버스터미널,45190,남원시,52.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10956,10956,181.785
202207,10270,음성읍,43770,음성군,249.0,96.0,61.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,568,568,431.614
202310,10353,강남동(kbs방송국) 상권,51110,춘천시,20.0,2.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1316666,325001,1156.817
202405,9304,양재역_2,11680,강남구,106.0,23.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,511538,195534,1368.08
202312,9804,연동,50110,제주시,477.0,111.0,131.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,65.0,24.0,2491492,2004418,5692.837
202311,9353,교대역_3,11650,서초구,50.0,2.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,367111,166639,839.122
202303,10147,부평역_1,28237,부평구,106.0,24.0,24.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,563643,294121,947.037
202211,9752,신흥동_5,46110,목포시,94.0,36.0,37.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,122622,108919,553.566
202301,9998,평내호평역,41360,남양주시,176.0,5.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,640160,554727,2163.548
202303,9370,신사동사로수길_2,11680,강남구,287.0,53.0,143.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,878994,833429,2128.702
202406,9535,신정1동,31140,남구,293.0,90.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,162687,153626,461.815
202303,9208,충무로역_1,11140,중구,287.0,76.0,113.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,813447,491423,1403.084
202406,10063,금촌역_2,41480,파주시,627.0,196.0,174.0,1.0,2.0,4.0,3.0,2.0,0.0,0.0,25.0,6.0,518554,294903,2375.198
202404,9709,영천역,47230,영천시,528.0,188.0,98.0,4.0,1.0,6.0,0.0,1.0,0.0,0.0,18.0,8.0,464008,382344,996.904
202207,9615,성서산업단지역_2,27290,달서구,40.0,9.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,571072,508647,1713.656
202301,10035,고양시청_1,41281,고양시 덕양구,49.0,17.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1092182,399841,1331.946
202309,9577,중앙로,48240,사천시,81.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,0,0,307.454
202208,10048,정발산역_2,41285,고양시 일산동구,28.0,3.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1332273,954118,4339.841
202312,9219,디지털단지오거리,11530,구로구,72.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,213607,213607,296.221
202303,10303,서부산유통단지-2,26440,강서구,14.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,19996,0,281.686
202403,10222,부여시외버스터미널,44760,부여군,446.0,216.0,62.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,24.0,10.0,173931,173931,1172.632
202406,9924,오산시청,41370,오산시,62.0,17.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,291577,245177,1555.994
202208,9280,논현역_2,11680,강남구,42.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364598,81892,770.661
202311,9800,동흥동,50130,서귀포시,110.0,15.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,343.153
202403,10270,음성읍,43770,음성군,247.0,97.0,61.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,14088,14088,497.68
202312,9752,신흥동_5,46110,목포시,94.0,36.0,37.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,171474,150324,587.447
202211,10064,문산시외버스터미널,41480,파주시,327.0,105.0,51.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,5.0,4.0,562028,523984,963.669
